SF=0.43
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.187,0.163,-,-
FSR,0.186,0.167,0.011,0.000
ISR,0.178,0.165,0.055,0.024
W_d2kappa_EW,0.172,0.165,0.046,0.000
W_d3kappa_EW,0.178,0.165,0.000,0.000
Z_d2kappa_EW,0.178,0.165,0.005,0.002
Z_d3kappa_EW,0.178,0.165,0.001,0.001
d1K_NLO,0.076,0.164,0.161,0.018
d1kappa_EW,0.076,0.164,0.000,0.001
d2K_NLO,0.169,0.164,0.000,0.011
d3K_NLO,0.169,0.164,0.000,0.000
jer,0.169,0.164,0.002,0.007
jes,0.145,0.150,0.087,0.067
jmr,0.151,0.143,0.000,0.044
jms,0.144,0.148,0.047,0.000
lumi,0.143,0.148,0.015,0.005
pdfUnc,0.150,0.148,0.000,0.002
prefiring16,0.143,0.148,0.043,0.000
prefiring17,0.143,0.148,0.000,0.000
puUnc,0.144,0.148,0.000,0.004
trig,0.082,0.147,0.118,0.013
