SF=0.67
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.163,0.142,-,-
FSR,0.156,0.135,0.045,0.043
ISR,0.140,0.129,0.070,0.039
W_d2kappa_EW,0.140,0.129,0.000,0.000
W_d3kappa_EW,0.140,0.129,0.000,0.000
Z_d2kappa_EW,0.140,0.129,0.006,0.004
Z_d3kappa_EW,0.140,0.129,0.002,0.002
d1K_NLO,0.124,0.122,0.064,0.044
d1kappa_EW,0.124,0.122,0.000,0.000
d2K_NLO,0.121,0.120,0.029,0.022
d3K_NLO,0.121,0.120,0.000,0.000
jer,0.121,0.120,0.000,0.005
jes,0.110,0.111,0.050,0.046
jmr,0.110,0.111,0.005,0.002
jms,0.109,0.110,0.010,0.010
lumi,0.108,0.110,0.017,0.013
pdfUnc,0.108,0.109,0.007,0.005
prefiring16,0.108,0.109,0.003,0.003
prefiring17,0.108,0.109,0.000,0.000
puUnc,0.108,0.109,0.007,0.006
trig,0.107,0.109,0.009,0.006
