SF=0.66
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.154,0.129,-,-
FSR,0.149,0.125,0.040,0.030
ISR,0.132,0.119,0.069,0.040
W_d2kappa_EW,0.132,0.119,0.000,0.002
W_d3kappa_EW,0.132,0.119,0.003,0.001
Z_d2kappa_EW,0.132,0.119,0.005,0.005
Z_d3kappa_EW,0.132,0.119,0.003,0.002
d1K_NLO,0.115,0.111,0.064,0.042
d1kappa_EW,0.115,0.111,0.002,0.000
d2K_NLO,0.111,0.109,0.028,0.020
d3K_NLO,0.111,0.109,0.000,0.000
jer,0.111,0.109,0.004,0.003
jes,0.104,0.102,0.040,0.039
jmr,0.104,0.102,0.009,0.003
jms,0.103,0.102,0.008,0.007
lumi,0.102,0.101,0.018,0.012
pdfUnc,0.102,0.101,0.007,0.005
prefiring16,0.102,0.101,0.003,0.002
prefiring17,0.102,0.101,0.000,0.000
puUnc,0.101,0.101,0.007,0.006
trig,0.101,0.100,0.009,0.006
