SF=1.24
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.172,0.307,-,-
FSR,0.167,0.304,0.041,0.043
ISR,0.164,0.298,0.034,0.060
W_d2kappa_EW,0.162,0.298,0.025,0.000
W_d3kappa_EW,0.161,0.298,0.012,0.000
Z_d2kappa_EW,0.161,0.298,0.012,0.010
Z_d3kappa_EW,0.165,0.298,0.000,0.008
d1K_NLO,0.295,0.287,0.000,0.081
d1kappa_EW,0.295,0.287,0.005,0.003
d2K_NLO,0.295,0.287,0.000,0.003
d3K_NLO,0.295,0.287,0.000,0.000
jer,0.295,0.287,0.002,0.002
jes,0.284,0.280,0.081,0.061
jmr,0.284,0.280,0.009,0.005
jms,0.284,0.280,0.000,0.012
lumi,0.282,0.279,0.034,0.019
pdfUnc,0.281,0.279,0.022,0.014
prefiring16,0.281,0.279,0.005,0.003
prefiring17,0.281,0.279,0.000,0.000
puUnc,0.281,0.279,0.004,0.006
trig,0.280,0.279,0.012,0.006
