SF=0.86
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.216,0.179,-,-
FSR,0.203,0.173,0.076,0.048
ISR,0.183,0.080,0.087,0.153
W_d2kappa_EW,0.183,0.080,0.000,0.007
W_d3kappa_EW,0.183,0.080,0.000,0.000
Z_d2kappa_EW,0.183,0.080,0.008,0.000
Z_d3kappa_EW,0.183,0.172,0.003,0.000
d1K_NLO,0.168,0.163,0.072,0.053
d1kappa_EW,0.168,0.163,0.000,0.001
d2K_NLO,0.164,0.161,0.036,0.026
d3K_NLO,0.164,0.161,0.000,0.000
jer,0.157,0.161,0.048,0.001
jes,0.151,0.142,0.043,0.077
jmr,0.145,0.142,0.044,0.004
jms,0.144,0.141,0.013,0.012
lumi,0.142,0.147,0.023,0.000
pdfUnc,0.142,0.140,0.010,0.043
prefiring16,0.142,0.140,0.003,0.004
prefiring17,0.142,0.140,0.000,0.000
puUnc,0.142,0.140,0.005,0.002
trig,0.141,0.140,0.015,0.009
