SF=0.97
Nuisance,+1 sigma,-1 sigma,+1 sigma nuisance,-1 sigma nuisance
Total,0.207,0.168,-,-
FSR,0.168,0.138,0.120,0.095
ISR,0.146,0.128,0.085,0.053
W_d2kappa_EW,0.146,0.128,0.001,0.001
W_d3kappa_EW,0.146,0.128,0.000,0.000
Z_d2kappa_EW,0.145,0.127,0.012,0.009
Z_d3kappa_EW,0.145,0.127,0.009,0.007
d1K_NLO,0.106,0.105,0.098,0.073
d1kappa_EW,0.106,0.104,0.004,0.003
d2K_NLO,0.106,0.104,0.000,0.000
d3K_NLO,0.106,0.104,0.000,0.000
jer,0.106,0.104,0.002,0.002
jes,0.101,0.100,0.032,0.031
jmr,0.101,0.100,0.005,0.000
jms,0.100,0.098,0.015,0.020
lumi,0.097,0.098,0.025,0.000
pdfUnc,0.096,0.098,0.014,0.011
prefiring16,0.096,0.098,0.000,0.000
prefiring17,0.096,0.098,0.005,0.004
puUnc,0.096,0.095,0.005,0.023
trig,0.095,0.095,0.008,0.004
